stock_id,name,產業,新聞
3189,景碩,景碩產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【0602台股盤前】COMPUTEX今日開展，輝達、高通背板效應引爆，Computex強勢概念股:景碩(3189)…
3231,緯創,緯創產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【Hot台股】廣達緯創4檔「電子五哥」滿血復活飆漲停！網喊「最後一名是誰很明顯XD」分析師：黃仁勳光環加持-Yah…
3234,光環,光環產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【Hot台股】廣達緯創4檔「電子五哥」滿血復活飆漲停！網喊「最後一名是誰很明顯XD」分析師：黃仁勳光環加持-Yah…
3264,欣銓,欣銓產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,3264欣銓-欣銓押價內外15%-股市爆料同學會-CMoney；欣銓、京元電權證四檔靚-UDN；3264欣銓-股市…
3265,台星科,台星科產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,封測族群超旺！「這檔」週拉3根挾力成、南茂漲停創高華東連6漲破40%、台星科寫新天價-Yahoo股市；3265台星…
3289,宜特,宜特產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,"宜特(3289)--券商分點進出買賣統計-股市爆料同學會-CMoney；台積電飆衝1,585元天價這幾檔概念股齊飆…"
3324,雙鴻,雙鴻產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,Computex2026散熱液冷商機爆發，奇鋐、雙鴻、台達電指標股全面迎戰AI升級潮｜股市話題｜豐雲學堂2026年…
3363,上詮,上詮產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,台積電點火CPO元年！光通訊廠上詮「砸重金擴產搶商機」3.2T產品下半年出貨、6.4T明年接棒-Yahoo股市；3…
3374,精材,精材產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,精材通過配息2.5元；測試代工成主要動能-Yahoo股市；3374精材-不要怕！-股市爆料同學會-CMoney；3…
3443,創意,創意產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,創意(3443)、聯發科(2454)，GoogleASIC雙線開花，雲端轉骨故事的台股雙主角｜產業熱話｜豐雲學堂2…
3450,聯鈞,聯鈞產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,3450聯鈞-今日醜到爆的k棒-股市爆料同學會-CMoney；處置股追蹤0526／今日新增10檔，國巨、大毅、昇達…
3481,群創,群創產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,群創60元只差臨門一腳面板雙虎奪台股成交量冠亞軍-Yahoo股市；處置股名單0604／今日新增12檔，群創、新纖、…
3491,昇達科,昇達科產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,處置股追蹤0526／今日新增10檔，國巨、大毅、昇達科首入列，禾伸堂、大量再遭二度處置｜股市話題-sinotrad…
3529,力旺,力旺產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,3529力旺-拒絕恐懼，學會擁抱股價的呼吸-股市爆料同學會-CMoney；台股市值衝全球第五！聯發科、台達電漲到半…
3563,牧德,牧德產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,AOI設備廠牧德5月營收3.49億元續創新高年增6.97%-news.cnyes.com；3563牧德-牧德5月營…
3583,辛耘,辛耘產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,辛耘(3583)--券商分點進出買賣統計-股市爆料同學會-CMoney；飆股幕後》外資連13買辛耘近3週漲幅逾6成…
3587,閎康,閎康產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,電子股五窮六絕效應不明顯法人喊買這幾檔股票-經濟日報；3587閎康-有紅都是送分題-股市爆料同學會-CMoney
3605,宏致,宏致產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,快抱不住-CMoney；3605宏致-股市最新爆料，掌握股友們對眾個股股價、技術分析、新聞的第一手...-股市爆料…
3645,達邁,達邁產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,達邁(3645)--券商分點進出買賣統計-股市爆料同學會-CMoney；3645達邁-是精材還是富采-股市爆料同學…
3653,健策,健策產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,3653健策-很多股票在回了，也有很多股票在補漲-股市爆料同學會-CMoney；黃仁勳開講漲一波！散熱族群4檔走揚…
3661,世芯-KY,世芯-KY產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,3661世芯-KY-高通亞馬遜大跌我就不相信世芯不會跌停-股市爆料同學會-CMoney；3661世芯-KY-殺殺殺…
3665,貿聯-KY,貿聯-KY產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,貿聯-KY(3665)個股概覽|個股-股市-CMoney；0050換股AI味更濃！新增創意、貿聯-KY等4檔這些傳…
3680,家登,家登產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,3680家登-546開空2張-股市爆料同學會-CMoney；外資調升家登及穎崴目標價-經濟日報；Gogoro成為首…
3701,大眾控,大眾控產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,"3701大眾控-低接買等每張股票賺超過10萬,一次獲利就是以千萬計算-股市爆料同學會-CMoney；3701大眾控…"
3711,日月光投控,日月光投控產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,3711日月光投控-買買買，目標900-股市爆料同學會-CMoney；高通公布21家台灣供應鏈背板，Compute…
3715,定穎投控,定穎投控產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,3715定穎投控-頭痛歸頭痛，還是等你。一波比一波高就好。💕💕-股市爆料同學會-CMoney；3715定穎投控-這…
4746,台耀,台耀產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,冷門ETF黑馬是它！績效1382%贏台股大盤及0050財經作家：輾壓等級-UDN；6589台康生技-僅轉載參考ht…
4749,新應材,新應材產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,4749新應材-主力這麼厲害的嗎來回洗-股市爆料同學會-CMoney；1表看》他們低調大發AI財！新應材、中砂、台…
4772,台特化,台特化產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,4772台特化-台特法說會簡報-股市爆料同學會-CMoney；〈財經週報-半導體供應鏈千金股〉2奈米製程引爆商機特…
4958,臻鼎-KY,臻鼎-KY產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,快訊／台股新增15檔「抓去關」從明起處置至6／10-ETtoday財經雲；又有15檔台股被「關禁閉」！PCB「這2…
4971,IET-KY,IET-KY產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,4971IET-KY-狗欄杆-股市爆料同學會-CMoney；聯電、聯發科、國巨、華邦電、台積電…15檔AI股最新目…
4977,眾達-KY,眾達-KY產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,眾達-KY(4977)--券商分點進出買賣統計-股市爆料同學會-CMoney；美股法說CRDO｜Credo營收暴衝…
4979,華星光,華星光產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,4979華星光-今天雲霄飛車唷抱好了-股市爆料同學會-CMoney；台股沖天炮攻破46000大關！今起「這3檔」強…
4991,環宇-KY,環宇-KY產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,4991環宇-KY-又下來跟兄弟倆團聚了-股市爆料同學會-CMoney；4991環宇-KY-準備開了-股市爆料同學…
5274,信驊,信驊產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,股王新天價1》大摩喊23456元信驊林鴻明：高股價是做功德-民報；資金巨浪湧台股！爆量飆千點創新高台積電、信驊同步…
5289,宜鼎,宜鼎產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,5289宜鼎-這二、三年股市的焦點全部在電子股。宜鼎的產品打入台塑，這個...-股市爆料同學會-CMoney；AI…
5347,世界,世界產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【科技股打世界盃3】市值百強台灣已占4席！聯發科贏花旗台達電勝麥當勞百事可樂波音-Yahoo股市；台股不再只有台積…
5443,均豪,均豪產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,"均豪(5443)--券商分點進出買賣統計-股市爆料同學會-CMoney；台積電飆衝1,585元天價這幾檔概念股齊飆…"
5536,聖暉*,聖暉*產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,5536聖暉*-聖暉股友午安連跌二天心情一定很煩躁沒辦法大盤大跌...-股市爆料同學會-CMoney；聖暉通過配息…
6005,群益證,群益證產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,台股漲多怕了嗎？群益證總座李文柱：基本面撐腰、ETF坐鎮，這波行情和以前不一樣！-商周財富網；群益證股東會／董事長…
6139,亞翔,亞翔產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6139亞翔-股市最新爆料，掌握股友們對眾個股股價、技術分析、新聞的第一手...-股市爆料同學會-CMoney；〈…
6187,萬潤,萬潤產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6187萬潤-潤啊我對你不離不棄-股市爆料同學會-CMoney；《價值型投資最新產業研究報告》萬潤（6187-TW…
6196,帆宣,帆宣產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6196帆宣-籌碼不差被氣氛錯殺買個機會-股市爆料同學會-CMoney；揭密「四貸同堂」多殺多內幕：懂的人正偷偷低…
6197,佳必琪,佳必琪產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6197佳必琪-Q2再超越Q1的毛利率35.77，淨利率20.24%-股市爆料同學會-CMoney；6197佳必琪…
6213,聯茂,聯茂產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,PCB還在飆！「這檔」連拉2根帶金居、聯茂、德宏漲停臻鼎、台燿、景碩全寫新天價-Yahoo股市；漲價效應發威法人調…
6217,中探針,中探針產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6217中探針-木馬今天沒出現？-股市爆料同學會-CMoney；處置股名單0602／今日新增10檔，力積電、麗正、…
6223,旺矽,旺矽產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6223旺矽-旺矽搭AI發展順風車-股市爆料同學會-CMoney；台股市值衝全球第五！聯發科、台達電漲到半邊天「現…
6243,迅杰,迅杰產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,近十天未擷取到明確公司相關新聞。
6257,矽格,矽格產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6257矽格-這支很髒-股市爆料同學會-CMoney；半導體與重電雙引擎發燙投資台灣3大方案：環球晶矽格華城、健豪…
6274,台燿,台燿產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,台燿(6274)--券商分點進出買賣統計-股市爆料同學會-CMoney；PCB還在飆！「這檔」連拉2根帶金居、聯茂…
6278,台表科,台表科產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6278台表科-下影線-股市爆料同學會-CMoney；〈ETF成分股調整〉00919換股18進18出五大壽險金控全…
6282,康舒,康舒產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,今日漲停股｜電子零組件與綠能電力領軍，康舒、泰金寶-DR、華紙強勢攻頂0604｜豐雲學堂2026年06月-sino…
6285,啟碁,啟碁產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,低軌衛星概念股有哪些？SpaceX供應鏈、台股ETF、投資風險一次看-天下雜誌；SpaceXIPO掛牌倒數！低軌衛…
6412,群電,群電產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,「AMD點名封測廠」、代工二哥慘被踢出！00919換股大地震18進18出「兆元宴」這檔卻入列-Yahoo股市；23…
6414,樺漢,樺漢產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6414樺漢-價值重估最終章-股市爆料同學會-CMoney；樺漢深化與子公司Kontron合作持股比擬提升至30%…
6442,光聖,光聖產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6442光聖-老話一句融資不減股票不漲-股市爆料同學會-CMoney；光聖2026年業績拚增雙位數-UDN；AI光…
6451,訊芯-KY,訊芯-KY產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6451訊芯-KY-今天會了結一波-股市爆料同學會-CMoney；4月營收連2月月增法人看好訊芯-KY今年EPS年…
6510,精測,精測產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,精測(6510)個股概覽|個股-股市-CMoney；精測5月營收月增4%/創高，全年拚逐月揚-Yahoo股市；精測…
6515,穎崴,穎崴產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6515穎崴-AI推動台股，穎崴受益-股市爆料同學會-CMoney；焦點股》穎崴：股價飆新天價族群連袂強漲-自由時…
6526,達發,達發產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,營收獲利速報》達發去年EPS17.32元擬配息13.5元-自由時報；達發股東會／通過每股配息13.5元10G-PO…
6531,愛普*,愛普*產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【0601台股盤前】加權指數再創1.87兆新高天量!!!戴爾Q1財報引爆老AI漲停，『多頭趨勢實戶買』:微星(23…
6640,均華,均華產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,致茂、均華...台積電布局次世代封裝「CoPoS」，3台廠吃下雙重商機-烱叔台股攻略-台股-商周財富網；6640均…
6643,M31,M31產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6643M31-IC設計股隨聯發科攀升-股市爆料同學會-CMoney；高通公布21家台灣供應鏈背板，Compute…
6664,群翊,群翊產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6664群翊-有人看到擴廠那個新聞嗎-股市爆料同學會-CMoney；群翊斥資14億元擴廠-UDN；玻璃基板是什麼？…
6669,緯穎,緯穎產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,每股現金145元+股票20元超豪華！「AI基建巨擘」大手筆灑306億看好AI與資料中心長期需求-Yahoo股市；緯…
6672,騰輝電子-KY,騰輝電子-KY產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【營收快訊】騰輝電子-KY(6672)公告05月營收-CMoney；6672騰輝電子-KY-https://tw.…
6683,雍智科技,雍智科技產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,"6683雍智科技-下午好外資:-211,222股投信:0股自營:+1...-股市爆料同學會-CMoney；大客戶需…"
6691,洋基工程,洋基工程產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6691洋基工程-看來股東會前景堪憂？-股市爆料同學會-CMoney；洋基工程通過股利22元；今年營收看增6~7成…
6693,廣閎科,廣閎科產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6693廣閎科-不好意思.....-股市爆料同學會-CMoney；6693廣閎科-驚喜，刺激吧-股市爆料同學會-C…
6789,采鈺,采鈺產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6789采鈺-利多不漲反跌-股市爆料同學會-CMoney；【公告】采鈺股票初次上市前現金增資認股繳款期間暨暫定承銷…
6805,富世達,富世達產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,黃仁勳開講漲一波！散熱族群4檔走揚富世達亮燈漲停分析師曝仍有1隱憂-Yahoo股市；【0603台股盤前】COMPU…
6940,格斯科技*,格斯科技*產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,6940格斯科技*-有什麼消息嗎？-股市爆料同學會-CMoney；6940格斯科技*-量縮整理，籌碼持續沉澱中-股…
7711,永擎,永擎產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,永擎(7711)--券商分點進出買賣統計-股市爆料同學會-CMoney；永擎攜手日商Datasection揮軍泰國…
7717,萊德光電-KY,萊德光電-KY產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,7717萊德光電-KY-完了，完了，巴比Q了-股市爆料同學會-CMoney；〈財經週報-低軌衛星〉昇達科、萊德光電…
7734,印能科技,印能科技產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,印能科技(7734)--券商分點進出買賣統計-股市爆料同學會-CMoney；致茂、均華...台積電布局次世代封裝「…
7769,鴻勁,鴻勁產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,中華電小金雞、鴻勁上市滿半年證交所：6/3開始融資融券-Yahoo股市；7769鴻勁-目前不該賣出的幾個理由-股市…
7792,安葆,安葆產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,AI資料中心基建需求強安葆在手訂單逾120億元-news.cnyes.com；安葆訂單看到2028年-UDN；安葆…
7828,創新服務,創新服務產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,7828創新服務何時解除注意股~-CMoney；台股10檔被「關禁閉」！全關到6/12這3檔每20分鐘撮合一次-T…
7856,漢測,漢測產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,7856漢測-漢測真令人失望-股市爆料同學會-CMoney；《興櫃公司除權除息4-3》漢測06/22除息-富聯網；…
7899,景美,景美產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,7899景美-下市吧-股市爆料同學會-CMoney；群創今年狂漲229%爆「百萬成交量」稱霸！友達強鎖漲停-TVB…
8021,尖點,尖點產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,處置股追蹤0526／今日新增10檔，國巨、大毅、昇達科首入列，禾伸堂、大量再遭二度處置｜股市話題-sinotrad…
